101|DELUXE|1|true|2|2026-08-28T14:27|2026-08-28T14:27|2026-08-30T12:00|R
102|DELUXE_TWIN|1|true|1|2026-08-28T15:07|2026-08-28T15:07|2026-08-30T12:00|R
103|DELUXE_TWIN|1|true|2|2026-08-28T15:08|2026-08-28T15:08|2026-08-30T12:00|R
104|SUPERIOR|1|true|2|2026-08-27T14:12:19.283622600|2026-08-27T14:12:19.283622600|2026-08-30T14:12:19.283622600|R
105|SUPERIOR_TWIN|1|true|3|2026-08-27T14:12:19.283622600|2026-08-27T14:12:19.283622600|2026-08-28T14:12:19.283622600|R
106|DELUXE|2|true|2|2026-08-28T14:27|2026-08-28T14:27|2026-08-29T12:00|R
107|SUPERIOR|2|true|2|2026-08-27T14:12:19.283622600|2026-08-27T14:12:19.283622600|2026-08-31T14:12:19.283622600|R
108|DELUXE_TWIN|2|true|1|2026-08-23T14:12:19.283622600|2026-08-23T14:12:19.283622600|2026-08-25T14:12:19.283622600|R
109|SUPERIOR_TWIN|3|true|3|2026-08-27T14:12:19.283622600|2026-08-27T14:12:19.283622600|2026-08-29T14:12:19.283622600|R
110|DELUXE|3|true|2|2026-08-28T14:34|2026-08-28T14:34|2026-08-29T12:00|R
