T001|101|Ready|S001||2026-06-10T08:00|2026-06-10T08:25|2026-06-10T08:05|true
T002|102|Ready|S001||2026-06-10T08:30|2026-06-10T09:05|2026-06-10T08:35|false
T003|103|Ready|S001||2026-06-10T09:10|2026-06-10T09:35|2026-06-10T09:15|true
T004|104|Ready|S001||2026-06-10T09:40|2026-06-10T10:05|2026-06-10T09:45|true
T005|105|Ready|S001||2026-06-10T10:10|2026-06-10T10:42|2026-06-10T10:12|false
T006|106|Ready|S002||2026-06-10T08:00|2026-06-10T08:28|2026-06-10T08:05|true
T007|107|Ready|S002||2026-06-10T08:35|2026-06-10T09:10|2026-06-10T08:40|false
T008|108|Ready|S002||2026-06-10T09:15|2026-06-10T09:42|2026-06-10T09:20|true
T009|109|Ready|S002||2026-06-10T09:50|2026-06-10T10:18|2026-06-10T09:52|true
T010|110|Ready|S003||2026-06-10T08:00|2026-06-10T08:20|2026-06-10T08:05|true
T011|101|Ready|S003||2026-06-10T08:25|2026-06-10T09:00|2026-06-10T08:30|false
T012|102|Ready|S003||2026-06-10T09:05|2026-06-10T09:33|2026-06-10T09:10|true
T013|103|Ready|S001||2026-07-15T08:00|2026-07-15T08:22|2026-07-15T08:05|true
T014|104|Ready|S001||2026-07-15T08:28|2026-07-15T08:55|2026-07-15T08:30|true
T015|105|Ready|S001||2026-07-15T09:00|2026-07-15T09:28|2026-07-15T09:05|true
T016|106|Ready|S001||2026-07-15T09:35|2026-07-15T10:05|2026-07-15T09:37|false
T017|107|Ready|S001||2026-07-15T10:10|2026-07-15T10:38|2026-07-15T10:12|true
T018|108|Ready|S002||2026-07-15T08:00|2026-07-15T08:25|2026-07-15T08:05|true
T019|109|Ready|S002||2026-07-15T08:30|2026-07-15T08:58|2026-07-15T08:35|true
T020|110|Ready|S002||2026-07-15T09:05|2026-07-15T09:40|2026-07-15T09:10|false
T021|101|Ready|S002||2026-07-15T09:45|2026-07-15T10:12|2026-07-15T09:48|true
T022|102|Ready|S002||2026-07-15T10:18|2026-07-15T10:45|2026-07-15T10:20|true
T023|103|Ready|S003||2026-07-15T08:00|2026-07-15T08:30|2026-07-15T08:05|true
T024|104|Ready|S003||2026-07-15T08:35|2026-07-15T09:15|2026-07-15T08:40|false
T025|105|Ready|S003||2026-07-15T09:20|2026-07-15T09:48|2026-07-15T09:25|true
T026|106|Ready|S003||2026-07-15T09:55|2026-07-15T10:22|2026-07-15T10:00|true
T027|107|Ready|S003||2026-07-15T10:28|2026-07-15T10:55|2026-07-15T10:30|true
T028|108|Ready|S001||2026-07-20T08:00|2026-07-20T08:28|2026-07-20T08:05|true
T029|109|Ready|S001||2026-07-20T08:35|2026-07-20T09:10|2026-07-20T08:40|false
T030|110|Ready|S001||2026-07-20T09:15|2026-07-20T09:40|2026-07-20T09:20|true
T031|101|Ready|S002||2026-07-20T08:00|2026-07-20T08:25|2026-07-20T08:05|true
T032|102|Ready|S002||2026-07-20T08:30|2026-07-20T08:58|2026-07-20T08:35|true
T033|103|Ready|S002||2026-07-20T09:05|2026-07-20T09:35|2026-07-20T09:10|true
T034|104|Ready|S002||2026-07-20T09:40|2026-07-20T10:08|2026-07-20T09:45|true
T035|105|Ready|S002||2026-07-20T10:15|2026-07-20T10:42|2026-07-20T10:18|true
T036|106|Ready|S003||2026-07-20T08:00|2026-07-20T08:27|2026-07-20T08:05|true
T037|107|Ready|S003||2026-07-20T08:33|2026-07-20T09:05|2026-07-20T08:37|false
T038|108|Ready|S003||2026-07-20T09:10|2026-07-20T09:38|2026-07-20T09:15|true
T039|109|Ready|S003||2026-07-20T09:45|2026-07-20T10:12|2026-07-20T09:50|true
T040|110|Ready|S003||2026-07-20T10:18|2026-07-20T10:46|2026-07-20T10:22|true
T041|101|Ready|S001||2026-08-05T07:50|2026-08-05T08:18|2026-08-05T07:55|true
T042|102|Ready|S001||2026-08-05T08:25|2026-08-05T08:52|2026-08-05T08:28|true
T043|103|Ready|S001||2026-08-05T09:00|2026-08-05T09:35|2026-08-05T09:05|false
T044|104|Ready|S001||2026-08-05T09:40|2026-08-05T10:05|2026-08-05T09:42|true
T045|105|Ready|S001||2026-08-05T10:12|2026-08-05T10:40|2026-08-05T10:15|true
T046|106|Ready|S001||2026-08-05T10:45|2026-08-05T11:08|2026-08-05T10:48|true
T047|107|Ready|S002||2026-08-05T07:50|2026-08-05T08:20|2026-08-05T07:55|true
T048|108|Ready|S002||2026-08-05T08:25|2026-08-05T09:00|2026-08-05T08:30|false
T049|109|Ready|S002||2026-08-05T09:05|2026-08-05T09:30|2026-08-05T09:08|true
T050|110|Ready|S002||2026-08-05T09:35|2026-08-05T10:02|2026-08-05T09:38|true
T051|101|Ready|S002||2026-08-05T10:08|2026-08-05T10:35|2026-08-05T10:11|true
T052|102|Ready|S002||2026-08-05T10:40|2026-08-05T11:05|2026-08-05T10:43|true
T053|103|Ready|S003||2026-08-05T07:50|2026-08-05T08:15|2026-08-05T07:55|true
T054|104|Ready|S003||2026-08-05T08:20|2026-08-05T08:55|2026-08-05T08:25|false
T055|105|Ready|S003||2026-08-05T09:00|2026-08-05T09:28|2026-08-05T09:03|true
T056|106|Ready|S003||2026-08-05T09:35|2026-08-05T10:00|2026-08-05T09:38|true
T057|107|Ready|S003||2026-08-05T10:05|2026-08-05T10:32|2026-08-05T10:08|true
T058|108|Ready|S003||2026-08-05T10:38|2026-08-05T11:02|2026-08-05T10:41|true
T059|109|Ready|S001||2026-08-27T20:41:11.836978400|2026-08-27T21:08:11.836978400|2026-08-27T20:44:11.836978400|true
T060|110|Ready|S001||2026-08-27T21:14:11.836978400|2026-08-27T21:38:11.836978400|2026-08-27T21:17:11.836978400|true
T061|101|Ready|S002||2026-08-27T20:46:11.836978400|2026-08-27T21:14:11.836978400|2026-08-27T20:49:11.836978400|true
T062|102|Ready|S002|Auto-assigned|2026-08-27T21:54:11.836978400|2026-08-28T14:25:34.730172200|2026-08-27T21:56:11.836978400|false
T063|103|Ready|S003|Auto-assigned|2026-08-27T22:09:11.836978400|2026-08-28T14:26:02.093782400|2026-08-27T22:11:11.836978400|false
T064|104|Ready|S001|Waiting in queue|2026-08-27T22:13:11.836978400|2026-08-28T14:26:15.242919|2026-08-27T22:16:11.936915200|false
